symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2025-11-18 15:22:00+00:00,267.115,267.53,267.08,267.4345,94911.0,2507.0,267.31952
AAPL,2025-11-18 15:23:00+00:00,267.4379,267.75,267.4379,267.73,144091.0,3125.0,267.601163
AAPL,2025-11-18 15:24:00+00:00,267.6871,267.73,267.32,267.465,102125.0,2529.0,267.494722
AAPL,2025-11-18 15:25:00+00:00,267.48,267.688,267.44,267.653,112017.0,2455.0,267.561137
AAPL,2025-11-18 15:26:00+00:00,267.625,267.9299,267.54,267.895,98127.0,2634.0,267.74428
AAPL,2025-11-18 15:27:00+00:00,267.9,267.95,267.43,267.84,89828.0,2386.0,267.769157
AAPL,2025-11-18 15:28:00+00:00,267.83,267.94,267.4412,267.6232,86395.0,2215.0,267.683027
AAPL,2025-11-18 15:29:00+00:00,267.64,267.77,267.52,267.65,77922.0,2009.0,267.645253
AAPL,2025-11-18 15:30:00+00:00,267.665,268.07,267.61,268.0088,88486.0,2619.0,267.938144
AAPL,2025-11-18 15:31:00+00:00,268.02,268.065,267.5823,267.59,71504.0,2061.0,267.895472
AAPL,2025-11-18 15:32:00+00:00,267.65,268.08,267.54,268.04,75372.0,2185.0,267.867688
AAPL,2025-11-18 15:33:00+00:00,268.07,268.13,267.73,267.92,57871.0,1943.0,267.939842
AAPL,2025-11-18 15:34:00+00:00,267.91,267.93,267.68,267.89,57188.0,1815.0,267.81836
AAPL,2025-11-18 15:35:00+00:00,267.91,267.93,267.4855,267.59,96674.0,2057.0,267.618595
AAPL,2025-11-18 15:36:00+00:00,267.545,267.61,267.42,267.52,51321.0,1960.0,267.523495
AAPL,2025-11-18 15:37:00+00:00,267.59,267.755,267.18,267.31,73240.0,2167.0,267.504369
AAPL,2025-11-18 15:38:00+00:00,267.275,267.52,267.24,267.35,83123.0,2137.0,267.357858
AAPL,2025-11-18 15:39:00+00:00,267.3695,267.38,267.04,267.32,77798.0,2158.0,267.213148
AAPL,2025-11-18 15:40:00+00:00,267.33,267.33,266.865,267.165,66373.0,2023.0,267.046956
AAPL,2025-11-18 15:41:00+00:00,267.14,267.63,266.99,267.5425,113720.0,2414.0,267.288117
AAPL,2025-11-18 15:42:00+00:00,267.53,267.6358,267.08,267.08,63228.0,1741.0,267.39395
AAPL,2025-11-18 15:43:00+00:00,267.13,267.48,267.09,267.175,80333.0,1900.0,267.252946
AAPL,2025-11-18 15:44:00+00:00,267.2,267.7,267.14,267.56,75720.0,2119.0,267.443104
AAPL,2025-11-18 15:45:00+00:00,267.55,267.75,267.33,267.59,63757.0,1944.0,267.53811
AAPL,2025-11-18 15:46:00+00:00,267.57,267.75,267.46,267.73,77498.0,2022.0,267.649516
AAPL,2025-11-18 15:47:00+00:00,267.73,267.77,267.4,267.42,143247.0,3024.0,267.590488
AAPL,2025-11-18 15:48:00+00:00,267.41,267.4794,267.279,267.285,58492.0,1850.0,267.383591
AAPL,2025-11-18 15:49:00+00:00,267.29,267.41,267.18,267.22,44274.0,1610.0,267.254881
AAPL,2025-11-18 15:50:00+00:00,267.2,267.2,266.85,266.9,58457.0,2099.0,266.975743
AAPL,2025-11-18 15:51:00+00:00,266.885,267.07,266.86,267.0197,59593.0,1867.0,266.964815
AAPL,2025-11-18 15:52:00+00:00,267.008,267.19,266.915,267.0375,94902.0,2037.0,267.073165
AAPL,2025-11-18 15:53:00+00:00,267.08,267.09,266.85,266.85,34186.0,1686.0,266.98102
AAPL,2025-11-18 15:54:00+00:00,266.86,266.99,266.73,266.87,66231.0,2161.0,266.870022
AAPL,2025-11-18 15:55:00+00:00,266.85,267.16,266.78,267.075,54842.0,1969.0,267.001159
AAPL,2025-11-18 15:56:00+00:00,267.07,267.14,266.66,266.6732,61406.0,1955.0,266.932153
AAPL,2025-11-18 15:57:00+00:00,266.71,266.94,266.67,266.8,60866.0,1803.0,266.865831
AAPL,2025-11-18 15:58:00+00:00,266.78,266.92,266.59,266.6,89117.0,2230.0,266.732569
AAPL,2025-11-18 15:59:00+00:00,266.583,266.64,266.46,266.55,82461.0,2010.0,266.539207
AAPL,2025-11-18 16:00:00+00:00,266.55,266.71,266.41,266.665,114233.0,2434.0,266.544188
AAPL,2025-11-18 16:01:00+00:00,266.665,266.68,266.17,266.18,71205.0,2177.0,266.380433
AAPL,2025-11-18 16:02:00+00:00,266.16,266.32,266.09,266.1551,45244.0,1888.0,266.202968
AAPL,2025-11-18 16:03:00+00:00,266.155,266.18,266.028,266.0845,61737.0,2297.0,266.093291
AAPL,2025-11-18 16:04:00+00:00,266.06,266.28,266.04,266.19,55964.0,2072.0,266.169022
AAPL,2025-11-18 16:05:00+00:00,266.22,266.3547,266.11,266.225,59442.0,2115.0,266.222541
AAPL,2025-11-18 16:06:00+00:00,266.2,266.25,266.05,266.215,52375.0,2099.0,266.140113
AAPL,2025-11-18 16:07:00+00:00,266.22,266.59,266.18,266.525,119595.0,2727.0,266.439926
AAPL,2025-11-18 16:08:00+00:00,266.535,266.79,266.44,266.6,92613.0,2283.0,266.60867
AAPL,2025-11-18 16:09:00+00:00,266.585,266.7,266.47,266.57,138609.0,2205.0,266.565697
AAPL,2025-11-18 16:10:00+00:00,266.5899,266.92,266.52,266.7075,178819.0,3196.0,266.734869
AAPL,2025-11-18 16:11:00+00:00,266.7,267.18,266.69,267.105,104969.0,2594.0,266.918108
AAPL,2025-11-18 16:12:00+00:00,267.09,267.22,266.96,267.22,85376.0,2186.0,267.113965
AAPL,2025-11-18 16:13:00+00:00,267.2,267.355,267.1,267.2,92487.0,2207.0,267.191648
AAPL,2025-11-18 16:14:00+00:00,267.18,267.35,266.92,267.015,58826.0,2053.0,267.143365
AAPL,2025-11-18 16:15:00+00:00,267.03,267.08,266.86,266.9797,58659.0,2175.0,266.940294
AAPL,2025-11-18 16:16:00+00:00,266.9815,267.0692,266.85,267.05,57802.0,2179.0,266.948723
AAPL,2025-11-18 16:17:00+00:00,267.0,267.075,266.81,266.8699,50342.0,1744.0,266.928534
AAPL,2025-11-18 16:18:00+00:00,266.865,267.35,266.85,267.32,184031.0,2159.0,266.961698
AAPL,2025-11-18 16:19:00+00:00,267.35,267.36,267.19,267.275,48985.0,1997.0,267.260408
AAPL,2025-11-18 16:20:00+00:00,267.26,267.69,267.26,267.62,131506.0,2342.0,267.535411
AAPL,2025-11-18 16:21:00+00:00,267.61,267.63,267.46,267.5,53714.0,1842.0,267.567699
AAPL,2025-11-18 16:22:00+00:00,267.52,267.82,267.515,267.755,89705.0,1986.0,267.714953
AAPL,2025-11-18 16:23:00+00:00,267.74,267.761,267.3,267.515,99497.0,2143.0,267.497879
AAPL,2025-11-18 16:24:00+00:00,267.52,267.74,267.5,267.545,57532.0,1920.0,267.63504
AAPL,2025-11-18 16:25:00+00:00,267.535,267.75,267.43,267.7201,84170.0,2184.0,267.581434
AAPL,2025-11-18 16:26:00+00:00,267.75,267.895,267.63,267.7517,78081.0,2036.0,267.766928
AAPL,2025-11-18 16:27:00+00:00,267.76,267.84,267.66,267.74,85120.0,1978.0,267.740783
AAPL,2025-11-18 16:28:00+00:00,267.75,268.0,267.74,267.94,87414.0,1987.0,267.880165
AAPL,2025-11-18 16:29:00+00:00,267.95,268.12,267.805,267.84,77960.0,2084.0,267.955877
AAPL,2025-11-18 16:30:00+00:00,267.84,267.84,267.55,267.57,85404.0,2203.0,267.721215
AAPL,2025-11-18 16:31:00+00:00,267.55,267.895,267.55,267.85,124355.0,2731.0,267.718499
AAPL,2025-11-18 16:32:00+00:00,267.86,267.98,267.77,267.87,61304.0,1994.0,267.86339
AAPL,2025-11-18 16:33:00+00:00,267.85,267.85,267.7,267.81,56321.0,1974.0,267.787129
AAPL,2025-11-18 16:34:00+00:00,267.82,267.82,267.38,267.38,121039.0,2337.0,267.672127
AAPL,2025-11-18 16:35:00+00:00,267.3601,267.57,267.2734,267.55,63405.0,2020.0,267.417664
AAPL,2025-11-18 16:36:00+00:00,267.585,267.765,267.52,267.625,34985.0,1800.0,267.617165
AAPL,2025-11-18 16:37:00+00:00,267.65,267.74,267.57,267.61,36285.0,1697.0,267.650833
AAPL,2025-11-18 16:38:00+00:00,267.61,267.795,267.54,267.76,42900.0,1842.0,267.655862
AAPL,2025-11-18 16:39:00+00:00,267.74,267.74,267.38,267.38,38407.0,1843.0,267.53225
AAPL,2025-11-18 16:40:00+00:00,267.41,267.53,267.27,267.505,88905.0,2019.0,267.361657
AAPL,2025-11-18 16:41:00+00:00,267.48,267.67,267.45,267.61,33737.0,1675.0,267.558666
AAPL,2025-11-18 16:42:00+00:00,267.65,267.96,267.6,267.895,112266.0,2349.0,267.77589
AAPL,2025-11-18 16:43:00+00:00,267.8871,267.97,267.82,267.92,38824.0,1679.0,267.893333
AAPL,2025-11-18 16:44:00+00:00,267.9,268.08,267.7,268.06,80131.0,2059.0,267.888042
AAPL,2025-11-18 16:45:00+00:00,268.07,268.338,268.07,268.1108,88875.0,2357.0,268.178461
AAPL,2025-11-18 16:46:00+00:00,268.125,268.17,267.945,268.069,76134.0,2037.0,268.045703
AAPL,2025-11-18 16:47:00+00:00,268.0401,268.11,267.59,267.66,88522.0,2358.0,267.765033
AAPL,2025-11-18 16:48:00+00:00,267.6364,268.2099,267.57,267.98,136523.0,3041.0,267.912954
AAPL,2025-11-18 16:49:00+00:00,268.01,268.03,267.78,267.87,77974.0,2126.0,267.942088
AAPL,2025-11-18 16:50:00+00:00,267.87,267.97,267.73,267.91,48319.0,1811.0,267.845946
AAPL,2025-11-18 16:51:00+00:00,267.9499,268.025,267.76,267.792,39966.0,1508.0,267.894959
AAPL,2025-11-18 16:52:00+00:00,267.79,267.87,267.6,267.7436,52661.0,1779.0,267.720193
AAPL,2025-11-18 16:53:00+00:00,267.74,267.805,267.56,267.6,45858.0,1661.0,267.678307
AAPL,2025-11-18 16:54:00+00:00,267.61,267.83,267.52,267.8,53066.0,1811.0,267.65251
AAPL,2025-11-18 16:55:00+00:00,267.81,268.23,267.79,268.1067,70458.0,2160.0,268.069568
AAPL,2025-11-18 16:56:00+00:00,268.11,268.11,267.83,267.96,52921.0,1842.0,267.934874
AAPL,2025-11-18 16:57:00+00:00,267.9301,268.04,267.83,267.92,77459.0,1978.0,267.946549
AAPL,2025-11-18 16:58:00+00:00,267.95,267.95,267.55,267.56,67149.0,1751.0,267.846556
AAPL,2025-11-18 16:59:00+00:00,267.56,267.83,267.56,267.7,27673.0,1511.0,267.705213
AAPL,2025-11-18 17:00:00+00:00,267.7,267.945,267.64,267.915,41442.0,1651.0,267.836122
AAPL,2025-11-18 17:01:00+00:00,267.87,267.88,267.74,267.8118,33354.0,1602.0,267.814356
AAPL,2025-11-18 17:02:00+00:00,267.82,268.15,267.82,268.075,41996.0,1922.0,268.00521
AAPL,2025-11-18 17:03:00+00:00,268.05,268.05,267.7946,267.89,25486.0,1596.0,267.882412
AAPL,2025-11-18 17:04:00+00:00,267.8595,267.93,267.68,267.74,32226.0,1637.0,267.773882
AAPL,2025-11-18 17:05:00+00:00,267.74,267.85,267.67,267.71,29279.0,1523.0,267.734529
AAPL,2025-11-18 17:06:00+00:00,267.7,267.72,267.59,267.6,38232.0,1553.0,267.650923
AAPL,2025-11-18 17:07:00+00:00,267.64,268.04,267.6228,267.965,43071.0,1042.0,267.833062
AAPL,2025-11-18 17:08:00+00:00,267.94,267.97,267.83,267.92,20776.0,617.0,267.903258
AAPL,2025-11-18 17:09:00+00:00,267.9,267.9699,267.77,267.84,111372.0,1030.0,267.878363
AAPL,2025-11-18 17:10:00+00:00,267.82,268.16,267.7906,268.07,41748.0,1098.0,268.057993
AAPL,2025-11-18 17:11:00+00:00,268.04,268.15,267.98,268.09,36368.0,734.0,268.054328
AAPL,2025-11-18 17:12:00+00:00,268.11,268.21,267.96,267.96,51016.0,1247.0,268.087372
AAPL,2025-11-18 17:13:00+00:00,267.93,268.0,267.83,267.8792,37140.0,959.0,267.93345
AAPL,2025-11-18 17:14:00+00:00,267.86,267.86,267.49,267.51,54568.0,942.0,267.610458
AAPL,2025-11-18 17:15:00+00:00,267.51,267.7,267.5,267.55,51596.0,1107.0,267.574521
AAPL,2025-11-18 17:16:00+00:00,267.53,267.7099,267.44,267.61,46118.0,1018.0,267.568719
AAPL,2025-11-18 17:17:00+00:00,267.605,267.62,267.4,267.54,69536.0,1101.0,267.534753
AAPL,2025-11-18 17:18:00+00:00,267.535,267.78,267.535,267.55,51608.0,1032.0,267.635225
AAPL,2025-11-18 17:19:00+00:00,267.5999,267.635,267.36,267.42,43407.0,837.0,267.497966
AAPL,2025-11-18 17:20:00+00:00,267.44,267.85,267.44,267.79,59271.0,1359.0,267.675441
AAPL,2025-11-18 17:21:00+00:00,267.7727,267.96,267.7696,267.83,52810.0,919.0,267.81529
AAPL,2025-11-18 17:22:00+00:00,267.84,267.88,267.52,267.53,53465.0,1006.0,267.699472
AAPL,2025-11-18 17:23:00+00:00,267.53,267.56,267.34,267.4005,50576.0,973.0,267.438761
AAPL,2025-11-18 17:24:00+00:00,267.38,267.45,267.26,267.275,25462.0,752.0,267.343568
AAPL,2025-11-18 17:25:00+00:00,267.26,267.48,267.2,267.27,54441.0,1054.0,267.322594
AAPL,2025-11-18 17:26:00+00:00,267.27,267.48,267.17,267.45,44312.0,869.0,267.264475
AAPL,2025-11-18 17:27:00+00:00,267.46,267.49,267.27,267.2817,90035.0,1350.0,267.341372
AAPL,2025-11-18 17:28:00+00:00,267.335,267.36,267.13,267.18,50891.0,1090.0,267.210576
AAPL,2025-11-18 17:29:00+00:00,267.21,267.2525,267.14,267.165,45292.0,887.0,267.1863
AAPL,2025-11-18 17:30:00+00:00,267.16,267.175,266.955,266.96,77024.0,1209.0,267.059771
AAPL,2025-11-18 17:31:00+00:00,266.95,266.95,266.75,266.815,78184.0,1278.0,266.8479
AAPL,2025-11-18 17:32:00+00:00,266.81,266.81,266.6109,266.6109,32051.0,840.0,266.72484
AAPL,2025-11-18 17:33:00+00:00,266.61,266.775,266.56,266.6,37702.0,895.0,266.694422
AAPL,2025-11-18 17:34:00+00:00,266.59,266.9001,266.43,266.85,33044.0,992.0,266.614637
AAPL,2025-11-18 17:35:00+00:00,266.83,267.07,266.81,266.98,72847.0,1782.0,266.943054
AAPL,2025-11-18 17:36:00+00:00,266.98,267.2904,266.97,267.27,42615.0,1138.0,267.143155
AAPL,2025-11-18 17:37:00+00:00,267.2722,267.44,267.24,267.44,133629.0,943.0,267.332215
AAPL,2025-11-18 17:38:00+00:00,267.5099,267.82,267.36,267.72,71528.0,1565.0,267.593801
AAPL,2025-11-18 17:39:00+00:00,267.725,267.895,267.65,267.88,56056.0,1327.0,267.761797
AAPL,2025-11-18 17:40:00+00:00,267.92,268.1429,267.92,268.0,49979.0,1153.0,268.025496
AAPL,2025-11-18 17:41:00+00:00,267.97,268.23,267.97,268.06,81480.0,1000.0,268.165315
AAPL,2025-11-18 17:42:00+00:00,268.06,268.39,268.01,268.26,61165.0,1282.0,268.210689
AAPL,2025-11-18 17:43:00+00:00,268.23,268.58,268.09,268.2796,86620.0,1944.0,268.350731
AAPL,2025-11-18 17:44:00+00:00,268.275,268.45,268.165,268.42,38917.0,1037.0,268.314837
AAPL,2025-11-18 17:45:00+00:00,268.42,268.43,268.14,268.205,42917.0,1167.0,268.272398
