timestamp,datetime,component,shared_memory_mb,process_memory_mb,shared_memory_name
1762655700.1921978,2025-11-08 20:35:00,PRICE_STRATEGY,0.015625,46.28125,G8_Shared_Prcie_Book
1762655700.826709,2025-11-08 20:35:00,PRICE_STRATEGY,0.015625,46.40625,G8_Shared_Prcie_Book
1762655701.44353,2025-11-08 20:35:01,PRICE_STRATEGY,0.015625,46.40625,G8_Shared_Prcie_Book
1762655702.060419,2025-11-08 20:35:02,PRICE_STRATEGY,0.015625,46.46875,G8_Shared_Prcie_Book
1762655702.6797628,2025-11-08 20:35:02,PRICE_STRATEGY,0.015625,46.46875,G8_Shared_Prcie_Book
1762655703.297206,2025-11-08 20:35:03,PRICE_STRATEGY,0.015625,46.484375,G8_Shared_Prcie_Book
1762655703.908004,2025-11-08 20:35:03,PRICE_STRATEGY,0.015625,46.4375,G8_Shared_Prcie_Book
1762655704.5273778,2025-11-08 20:35:04,PRICE_STRATEGY,0.015625,46.40625,G8_Shared_Prcie_Book
1762655705.1542459,2025-11-08 20:35:05,PRICE_STRATEGY,0.015625,46.4375,G8_Shared_Prcie_Book
1762655705.783824,2025-11-08 20:35:05,PRICE_STRATEGY,0.015625,46.453125,G8_Shared_Prcie_Book
1762655706.398507,2025-11-08 20:35:06,PRICE_STRATEGY,0.015625,46.453125,G8_Shared_Prcie_Book
1762655707.014333,2025-11-08 20:35:07,PRICE_STRATEGY,0.015625,46.359375,G8_Shared_Prcie_Book
1762655707.6393878,2025-11-08 20:35:07,PRICE_STRATEGY,0.015625,46.328125,G8_Shared_Prcie_Book
1762655708.261226,2025-11-08 20:35:08,PRICE_STRATEGY,0.015625,46.296875,G8_Shared_Prcie_Book
1762655708.900428,2025-11-08 20:35:08,PRICE_STRATEGY,0.015625,46.390625,G8_Shared_Prcie_Book
1762655709.52876,2025-11-08 20:35:09,PRICE_STRATEGY,0.015625,46.421875,G8_Shared_Prcie_Book
1762655710.1640902,2025-11-08 20:35:10,PRICE_STRATEGY,0.015625,46.46875,G8_Shared_Prcie_Book
1762655710.787519,2025-11-08 20:35:10,PRICE_STRATEGY,0.015625,46.484375,G8_Shared_Prcie_Book
1762655711.411107,2025-11-08 20:35:11,PRICE_STRATEGY,0.015625,46.484375,G8_Shared_Prcie_Book
1762655712.0399191,2025-11-08 20:35:12,PRICE_STRATEGY,0.015625,46.484375,G8_Shared_Prcie_Book
1762655712.6620958,2025-11-08 20:35:12,PRICE_STRATEGY,0.015625,46.515625,G8_Shared_Prcie_Book
1762655713.292622,2025-11-08 20:35:13,PRICE_STRATEGY,0.015625,46.515625,G8_Shared_Prcie_Book
1762655713.917336,2025-11-08 20:35:13,PRICE_STRATEGY,0.015625,46.515625,G8_Shared_Prcie_Book
1762655714.536258,2025-11-08 20:35:14,PRICE_STRATEGY,0.015625,46.515625,G8_Shared_Prcie_Book
1762655715.17312,2025-11-08 20:35:15,PRICE_STRATEGY,0.015625,46.515625,G8_Shared_Prcie_Book
1762655926.725919,2025-11-08 20:38:46,ORDERBOOK,0.015625,95.328125,G8_Shared_Prcie_Book
1762655926.981448,2025-11-08 20:38:46,ORDERBOOK,0.015625,95.328125,G8_Shared_Prcie_Book
1762655927.239437,2025-11-08 20:38:47,ORDERBOOK,0.015625,95.328125,G8_Shared_Prcie_Book
1762655927.4959528,2025-11-08 20:38:47,ORDERBOOK,0.015625,95.328125,G8_Shared_Prcie_Book
1762655927.7475781,2025-11-08 20:38:47,ORDERBOOK,0.015625,95.328125,G8_Shared_Prcie_Book
1762655927.995837,2025-11-08 20:38:47,ORDERBOOK,0.015625,95.328125,G8_Shared_Prcie_Book
1762655928.1469529,2025-11-08 20:38:48,PRICE_STRATEGY,0.015625,96.359375,G8_Shared_Prcie_Book
1762655928.250164,2025-11-08 20:38:48,ORDERBOOK,0.015625,92.53125,G8_Shared_Prcie_Book
1762655928.5008729,2025-11-08 20:38:48,ORDERBOOK,0.015625,92.53125,G8_Shared_Prcie_Book
1762655928.7511868,2025-11-08 20:38:48,ORDERBOOK,0.015625,92.53125,G8_Shared_Prcie_Book
1762655928.776871,2025-11-08 20:38:48,PRICE_STRATEGY,0.015625,94.5,G8_Shared_Prcie_Book
1762655929.004,2025-11-08 20:38:49,ORDERBOOK,0.015625,92.53125,G8_Shared_Prcie_Book
1762655929.2633688,2025-11-08 20:38:49,ORDERBOOK,0.015625,92.53125,G8_Shared_Prcie_Book
1762655929.4099798,2025-11-08 20:38:49,PRICE_STRATEGY,0.015625,94.515625,G8_Shared_Prcie_Book
1762655929.516833,2025-11-08 20:38:49,ORDERBOOK,0.015625,92.53125,G8_Shared_Prcie_Book
1762655929.763492,2025-11-08 20:38:49,ORDERBOOK,0.015625,92.53125,G8_Shared_Prcie_Book
1762655930.017088,2025-11-08 20:38:50,ORDERBOOK,0.015625,92.53125,G8_Shared_Prcie_Book
1762655930.038348,2025-11-08 20:38:50,PRICE_STRATEGY,0.015625,94.53125,G8_Shared_Prcie_Book
1762655930.2691321,2025-11-08 20:38:50,ORDERBOOK,0.015625,92.53125,G8_Shared_Prcie_Book
1762655930.518655,2025-11-08 20:38:50,ORDERBOOK,0.015625,92.53125,G8_Shared_Prcie_Book
1762655930.674752,2025-11-08 20:38:50,PRICE_STRATEGY,0.015625,94.5625,G8_Shared_Prcie_Book
